"distributor","name","area","city","quantity","amount",
"THE KALASH ENTERPRISES","fun and joy","East Delhi","New Delhi","377","109455",
"THE KALASH ENTERPRISES","anand book corner","East Delhi","New Delhi","600","185676",
"THE KALASH ENTERPRISES","blessing the gift house","East Delhi","New Delhi","54","15246",
"THE KALASH ENTERPRISES","latest gift gallery","East Delhi","New Delhi","145","61343",
"THE KALASH ENTERPRISES","Gift palace","East Delhi","New Delhi","547","159583",
"THE KALASH ENTERPRISES","shrees sai collection","East Delhi","New Delhi","242","71544",
"THE KALASH ENTERPRISES","toy planet","East Delhi","New Delhi","72","20928",
"THE KALASH ENTERPRISES","Giggles pvt ltd","Central Delhi / Cannaught Place","New Delhi","1024","299520",
"THE KALASH ENTERPRISES","Nath & company","Central Delhi / Cannaught Place","New Delhi","98","32802",
"A.S ENTERPRISES","kids to mom","Faridabad - City","Faridabad","100","33300",
"A.S ENTERPRISES","3 D kids word","Faridabad - City","Faridabad","360","143172",
"A.S ENTERPRISES","narula retail","Faridabad - City","Faridabad","84","48580",
"A.S ENTERPRISES","just kiddies","Faridabad - City","Faridabad","1400","551250",
"Shreejee","Singapore gallery","Gomti Nagar / Bhutnath / Mahanagar","Lucknow","625","219275",
"Shreejee","universal book centre","Gomti Nagar / Bhutnath / Mahanagar","Lucknow","196","61110",
"Shreejee","Maakali sports","Gomti Nagar / Bhutnath / Mahanagar","Lucknow","144","30696",
"Shreejee","universal bookseller","Gomti Nagar / Bhutnath / Mahanagar","Lucknow","400","157360",
"Shreejee","handicraft gallery","Gomti Nagar / Bhutnath / Mahanagar","Lucknow","225","49905",
"Shreejee","modren store","Hazarthganj / Chowk / Naka / Lalbaug","Lucknow","8","4392",
"Shreejee","dolls in london","Hazarthganj / Chowk / Naka / Lalbaug","Lucknow","225","66855",
"SHRI RAM MARKETING","kandla tradelink pvt ltd/ cross word","Gandhidham City","Gandhidham","3540","1301953",
"SHRI RAM MARKETING","swaminaryan consumer store","Bhuj City","Bhuj","49","17283",
"SHRI RAM MARKETING","appu novelties","Bhuj City","Bhuj","144","56568",
"SHRI RAM MARKETING","baccha party","Rajkot - City","Rajkot","49","17451",
"SHRI RAM MARKETING","simandhar store","Rajkot - City","Rajkot","400","149520",
"SHRI RAM MARKETING","wonder world","Rajkot - City","Rajkot","2","1198",
"SHRI RAM MARKETING","seasons square","Rajkot - City","Rajkot","2500","858100",
"PUSHP CREATION","Hallmark","Agra / Aligarh","Agra","676","211016",
"PUSHP CREATION","gift celebration","Agra / Aligarh","Agra","225","64155",
"PUSHP CREATION","toy & gift shop","Agra / Aligarh","Agra","2064","375648",
"PUSHP CREATION","bharat store","Agra / Aligarh","Agra","100","19220",
"PUSHP CREATION","Anoop gift shopa","Agra / Aligarh","Agra","360","141876",
"BANRAJ ENTERPRISES","K.B,Store","Guwhati - City","Guwhati","2094","617521",
"BANRAJ ENTERPRISES","Santu","Guwhati - City","Guwhati","400","113440",
"BANRAJ ENTERPRISES","Banwarilal pradip kumar","Guwhati - City","Guwhati","462","118650",
"KANGAROO FOOD'S","jindal cosmetics(needs)","Rourkela - City","Rourkela","870","243252",
"KANGAROO FOOD'S","Roop sringar plaza","Rourkela - City","Rourkela","800","207840",
"KANGAROO FOOD'S","Balaji kids fashion andgift","Cuttack - City","Cuttack","168","47328",
"KANGAROO FOOD'S","Funtoys","Bhubaneshwar - City","Bhubaneshwar","2040","530920",
"KANGAROO FOOD'S","Toy town","Bhubaneshwar - City","Bhubaneshwar","2852","700120",
"KANGAROO FOOD'S","The Kangaroo","Bhubaneshwar - City","Bhubaneshwar","900","230580",
"R.D.MARKETING","Little shop","Desopiyo Park/ Elgin Road/ Bhavanipur/ Exit/ Maidan","Kolkotta","100","33680",
"R.D.MARKETING","Narayani Enterprises","Desopiyo Park/ Elgin Road/ Bhavanipur/ Exit/ Maidan","Kolkotta","21","7329",
"R.D.MARKETING","Narayani Enterprises","Desopiyo Park/ Elgin Road/ Bhavanipur/ Exit/ Maidan","Kolkotta","2376","752862",
"R.D.MARKETING","Kwality Book Co","Alipur / New Alipur/ Bihala/ Splanet/ Bada Bazaar","Kolkotta","1482","329802",
"R.D.MARKETING","Kmart Retail india pvt ltd","Alipur / New Alipur/ Bihala/ Splanet/ Bada Bazaar","Kolkotta","4550","1400295",
"R.D.MARKETING","world of toys children Corner","Alipur / New Alipur/ Bihala/ Splanet/ Bada Bazaar","Kolkotta","49","12005",
"R.D.MARKETING","Goodluck Plastic stores Wholesaler","Alipur / New Alipur/ Bihala/ Splanet/ Bada Bazaar","Kolkotta","450","81330",
"R.D.MARKETING","Little Shop","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","Kolkotta","100","16240",
"R.D.MARKETING","Toy planet","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","Kolkotta","162","48438",
"R.D.MARKETING","Kidzz","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","Kolkotta","225","70845",
"R.D.MARKETING","Wonderland","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","Kolkotta","234","73775",
"R.D.MARKETING","Mikkis","Shyam Bazaar/ Podiya Pukur/ Kakurgachi/ Lake Town/ Baguwadi","Kolkotta","3888","731376",
"R.D.MARKETING","Gift House","South Lake/ Sector 5/ Technolpolis/ Karunamoi/ Rajahut","Kolkotta","100","27020",
"R.D.MARKETING","Baazar Style Retail pvt ltd","Howrah/ Chandannagar/ Chirchura/ Kacharapada","Kolkotta","1712","558642",
"EQUATOR TRADE HOUSE","Odyssey","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","5783","1837933",
"EQUATOR TRADE HOUSE","Connexions (Annanager)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","2556","758772",
"EQUATOR TRADE HOUSE","Connexions (Coimbatore)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1032","323304",
"EQUATOR TRADE HOUSE","Connexions (saligramam)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1612","458242",
"EQUATOR TRADE HOUSE","Connexions (velachery)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1824","548256",
"EQUATOR TRADE HOUSE","Connexions (salem)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","132","39600",
"EQUATOR TRADE HOUSE","Connexions (Adyar)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","598","168912",
"EQUATOR TRADE HOUSE","Connexions (Ashok nager)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","99","26451",
"EQUATOR TRADE HOUSE","Connexions (mogappair)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","272","78864",
"EQUATOR TRADE HOUSE","Connexions (infosys shollinganallur)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","9","2097",
"EQUATOR TRADE HOUSE","Connexions (mahindra infosys)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","9","2619",
"EQUATOR TRADE HOUSE","RS Shopping center","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","6885","2205468",
"EQUATOR TRADE HOUSE","Right choice","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","675","175300",
"EQUATOR TRADE HOUSE","Rex Fashions","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","1369","290043",
"EQUATOR TRADE HOUSE","kidzone","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","21870","8276418",
"EQUATOR TRADE HOUSE","Seematy","NUNGAMBAKKAM / EGMORE/ MOUNT ROAD/ GOPALAPURAM/ MYLAPOOR","Chennai","36","13212",
"EQUATOR TRADE HOUSE","kidzon vpi st,","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1700","459272",
"EQUATOR TRADE HOUSE","Carz  N Dollz","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","8","3792",
"EQUATOR TRADE HOUSE","Sri Venkateshwara supermarket","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","7168","2112096",
"EQUATOR TRADE HOUSE","Santosh super stores","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","290","76090",
"EQUATOR TRADE HOUSE","Shree meher","NUNGAMBAKKAM / EGMORE/ MOUNT ROAD/ GOPALAPURAM/ MYLAPOOR","Chennai","342","86562",
"EQUATOR TRADE HOUSE","Star learnmart","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","3680","954776",
"EQUATOR TRADE HOUSE","Sri stationery","NUNGAMBAKKAM / EGMORE/ MOUNT ROAD/ GOPALAPURAM/ MYLAPOOR","Chennai","64","19632",
"EQUATOR TRADE HOUSE","Sri venketeswara (Adambhakkam)","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","4171","987839",
"EQUATOR TRADE HOUSE","Baby Lou","NUNGAMBAKKAM / EGMORE/ MOUNT ROAD/ GOPALAPURAM/ MYLAPOOR","Chennai","1247","371461",
"EQUATOR TRADE HOUSE","Hunky dory","PURASIWALKAAM/ KILPAUK/ KELLYS/ DOVETON/ PERAMBUR/ PARYS CORNER/ VILLIVAKKAM /KULUTHUR","Chennai","6844","2031606",
"EQUATOR TRADE HOUSE","pink panther","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","800","257600",
"EQUATOR TRADE HOUSE","Alanker","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","562","203607",
"EQUATOR TRADE HOUSE","Shopping Singapore (Medavakkam)","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","2704","804128",
"EQUATOR TRADE HOUSE","Kids & me ( medavakkam)","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","100","19580",
"EQUATOR TRADE HOUSE","Party kids","ADAMBAKKAM / MADIPAKKAM/ GOWRIVAKKAM/ PORUR/ PALLAVARAM/ TAMBARAM/ PERAMBAKKAM/ MADAVAKKAM","Chennai","841","213933",
"LEO AGENCIES","Benchmark","Coimbatore City","Coimbatore","870","306530",
"LEO AGENCIES","Odyssey prism","Coimbatore City","Coimbatore","4480","1230000",
"Pragathi Marketing","Toy World","Indranagar / Thippsandra / Commercial St.","Bangalore","676","177788",
"Pragathi Marketing","Bright Sales","Indranagar / Thippsandra / Commercial St.","Bangalore","468","160082",
"Pragathi Marketing","Affection","Malleshwaram/ Mathikeri/ Bel Road/ Sanjaynagar","Bangalore","100","30410",
"Pragathi Marketing","Peek A Boo","HSR Layout /  Sarjapur","Bangalore","432","161352",
"Pragathi Marketing","Toyz N Toyz Baby shop","Indranagar / Thippsandra / Commercial St.","Bangalore","9855","3247697",
"Pragathi Marketing","Ramdev toys n toys baby shop","Indranagar / Thippsandra / Commercial St.","Bangalore","1320","373640",
"Pragathi Marketing","Toyland","Indranagar / Thippsandra / Commercial St.","Bangalore","64","14288",
"Pragathi Marketing","The Big  Market","Sahakarnaga/ Thindlu/ Vidyaranyapura/ Amruthahalli/ R.T.Nagar","Bangalore","900","249060",
"Pragathi Marketing","Pratham Enterprises","Sahakarnaga/ Thindlu/ Vidyaranyapura/ Amruthahalli/ R.T.Nagar","Bangalore","400","106480",
"Pragathi Marketing","The Little Star","Sahakarnaga/ Thindlu/ Vidyaranyapura/ Amruthahalli/ R.T.Nagar","Bangalore","121","28611",
"Pragathi Marketing","shopping Garden","Kaggadaspura/ Marathalli/ Whitefield/ Varthur","Bangalore","552","180711",
"Pragathi Marketing","Little Star Toys","Kaggadaspura/ Marathalli/ Whitefield/ Varthur","Bangalore","1190","300526",
"Pragathi Marketing","My Toyz","Indranagar / Thippsandra / Commercial St.","Bangalore","4347","1300824",
"Pragathi Marketing","Top in Town","Kaggadaspura/ Marathalli/ Whitefield/ Varthur","Bangalore","2116","562764",
"Pragathi Marketing","shobha Hyper Mart","Sahakarnaga/ Thindlu/ Vidyaranyapura/ Amruthahalli/ R.T.Nagar","Bangalore","9025","2771625",
"Pragathi Marketing","Dreamz by shah agencies","Vijayanagar/ Chandra Layout/ Basaveshwarnagar/ Nagarbhavi/","Bangalore","225","71055",
"Pragathi Marketing","Padam book house","Vijayanagar/ Chandra Layout/ Basaveshwarnagar/ Nagarbhavi/","Bangalore","1050","457230",
"Pragathi Marketing","M j Asia trading co (home buzz)","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","100","25320",
"Pragathi Marketing","Axis books","Indranagar / Thippsandra / Commercial St.","Bangalore","480","125680",
"Pragathi Marketing","kids corner","Malleshwaram/ Mathikeri/ Bel Road/ Sanjaynagar","Bangalore","90","31518",
"Pragathi Marketing","seasons","Malleshwaram/ Mathikeri/ Bel Road/ Sanjaynagar","Bangalore","81","25011",
"AKSHITHA ENTERPRISES","Infiniti the gift & Toy Shop","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","Hyderabad","360","112608",
"AKSHITHA ENTERPRISES","Baybee store","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","Hyderabad","594","156618",
"AKSHITHA ENTERPRISES","New Balaji (Toy &kids plant","Begumpet / Pujagutta /Banjara Hills /Jubilee Hills","Hyderabad","36","13164",
"AKSHITHA ENTERPRISES","walden Books Toys","Begumpet / Pujagutta /Banjara Hills /Jubilee Hills","Hyderabad","2580","704550",
"AKSHITHA ENTERPRISES","Shraddha Extension cards ,Gift& Books","Maradpalli / M G Road / S D Road/ Narangwada / Musheerabad","Secunderabad","80","27936",
"AKSHITHA ENTERPRISES","Shraddha Books & Stationery","Maradpalli / M G Road / S D Road/ Narangwada / Musheerabad","Secunderabad","1015","281273",
"AKSHITHA ENTERPRISES","Walden Books Toys  (Banjara Hills)","Begumpet / Pujagutta /Banjara Hills /Jubilee Hills","Hyderabad","1780","497292",
"AKSHITHA ENTERPRISES","Sri Toy Globe  ( Suchitra)","General Bazaar/ Station","Secunderabad","220","69124",
"AKSHITHA ENTERPRISES","Passionate A Dream World","General Bazaar/ Station","Secunderabad","1160","342606",
"AKSHITHA ENTERPRISES","Toy Corner","Dilsukhnagar / Chetainyapuri / Champapet / Shivam Road/ Immayatnagar","Hyderabad","800","265200",
"AKSHITHA ENTERPRISES","Toy Globe","General Bazaar/ Station","Secunderabad","1768","504152",
"AKSHITHA ENTERPRISES","Toy N More","HiTech City / Gacchgolli / Kondapur","Hyderabad","8120","2412568",
"AKSHITHA ENTERPRISES","Saify Stores","Maradpalli / M G Road / S D Road/ Narangwada / Musheerabad","Secunderabad","208","47580",
"AKSHITHA ENTERPRISES","Bhavani Toys Markrt","K P H B Colony/ V V Nagar / Nizampet/ Madinaguda/ Miyapur","Hyderabad","1558","478762",
"MECOTEX CORPORATION","gytyj","BANER / PASHAN","Pune","70","21386",
"MECOTEX CORPORATION","Sayali  Toys","KOTHRUD","Pune","274","45924",
"MECOTEX CORPORATION","Mathura  Variety","KOTHRUD","Pune","54","18546",
"MECOTEX CORPORATION","Dhanlaxmi  Varities","KOTHRUD","Pune","144","15286.5",
"MECOTEX CORPORATION","My Choice stationary","KOTHRUD","Pune","36","11220",
"MECOTEX CORPORATION","Toy Zone","PAUD ROAD","Pune","980","274121.39999999985",
"MECOTEX CORPORATION","Pankaj Varieties","PAUD ROAD","Pune","840","165227.44",
"MECOTEX CORPORATION","yash gift artiicals","VISHRANTWADI / KHADKI","Pune","585","121725",
"MECOTEX CORPORATION","pegasus","KALYANI NAGAR","Pune","36","8922.150000000001",
"MECOTEX CORPORATION","Bharat Enterprises","M.G. ROAD (CAMP)","Pune","294","67522",
"MECOTEX CORPORATION","anmol gift & stationery","WANAWADI","Pune","108","19440",
"MECOTEX CORPORATION","arpan stationers","WANAWADI","Pune","144","26640",
"MECOTEX CORPORATION","Sonal Sales Corporation.","WANAWADI","Pune","82","19658",
"MECOTEX CORPORATION","Choice Novelty","WANAWADI","Pune","896","171248",
"MECOTEX CORPORATION","Palak Gift & Stationery .","WANAWADI","Pune","2860","947100",
"MECOTEX CORPORATION","mayur enterprises","KONDHWA","Pune","54","9810",
"MECOTEX CORPORATION","greet N gift","WANAWADI","Pune","121","21175",
"MECOTEX CORPORATION","royal stationers & gifts","KONDHWA","Pune","1190","256122",
"MECOTEX CORPORATION","jeen sales corporation","KONDHWA","Pune","289","52275",
"MECOTEX CORPORATION","heart beat","VIMAN NAGAR / KHARADI","Pune","196","60004",
"MECOTEX CORPORATION","popular stationery","VIMAN NAGAR / KHARADI","Pune","56","10136",
"MECOTEX CORPORATION","mahadev stationery & varietis","VIMAN NAGAR / KHARADI","Pune","112","22680",
"MECOTEX CORPORATION","vinayak stationery & Gift","VIMAN NAGAR / KHARADI","Pune","144","25488",
"MECOTEX CORPORATION","prince stationery","VIMAN NAGAR / KHARADI","Pune","256","43168",
"MECOTEX CORPORATION","Arpan Collection.","KALYANI NAGAR","Pune","154","52690",
"MECOTEX CORPORATION","Amars  Kids Colection","VISHRANTWADI / KHADKI","Pune","198","43290",
"MECOTEX CORPORATION","Ronak  Variety.","KALYANI NAGAR","Pune","36","10176",
